ParentFile,Filename,shimmerLocaldB_sma3nz_stddevNorm,loudness_sma3_percentile20.0,F3amplitudeLogRelF0_sma3nz_amean,loudness_sma3_percentile50.0,loudness_sma3_amean,F2amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,MeanUnvoicedSegmentLength,F2amplitudeLogRelF0_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F1amplitudeLogRelF0_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_pctlrange0.2,alphaRatioV_sma3nz_stddevNorm,StddevUnvoicedSegmentLength,loudness_sma3_stddevNorm,loudness_sma3_percentile80.0,shimmerLocaldB_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,HNRdBACF_sma3nz_amean,slopeV500.1500_sma3nz_amean,loudness_sma3_meanRisingSlope,alphaRatioV_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F1amplitudeLogRelF0_sma3nz_stddevNorm
gemaps_part_pain.csv,4b645127ba15c3c2a0db35ada6ec588d_Pain_17_male_211223_1231860.wav_features_GeMAPSv01a.csv,0.5530702,0.2709675,-119.5287,0.3590629,0.3856994,-118.6079,-0.6701733,0.0964,-0.6851719,50.52898,-124.6805,26.20943,-0.5000999,0.0789876,0.4305929,0.4579542,1.241266,0.3334409,30.08669,5.622665,-0.01138215,3.393379,-11.47613,24.31955,-0.6881673
gemaps_part_pain.csv,31964ccde89cb0568c95aaf2349b2126_Pain_37_male_190607_526823.wav_features_GeMAPSv01a.csv,0.6512094,0.5777828,-62.06264,2.296439,2.029003,-64.52447,-1.477267,0.2071428,-1.399023,51.54103,-70.24783,1.413792,0.6226361,0.100387,0.5898861,3.207371,1.112143,0.03634388,50.96238,4.86736,0.000167666,10.30924,9.546951,50.12724,-1.296642
gemaps_part_pain.csv,8c896153596ee3747f453d5ac5732e8c_Pain_251_male_180527_49225.wav_features_GeMAPSv01a.csv,0.5279797,0.3303675,-55.95218,0.6620989,0.6344317,-53.55999,-1.588408,0.1433333,-1.690228,48.40844,-64.31558,3.615509,1.937324,0.09820613,0.4883013,0.9307805,1.335131,0.05650655,46.43758,5.301819,0.01233665,3.025504,4.372127,44.79293,-1.505371
gemaps_part_pain.csv,9ddbb8ded3390bb6fec6577e255c87a4_Pain_53_male_190117_432890.wav_features_GeMAPSv01a.csv,0.6782439,0.2083133,-72.87723,1.906335,1.862483,-72.2423,-1.260542,0.164,-1.292904,52.98597,-83.16713,4.529083,1.12433,0.1437498,0.7451221,3.41466,1.276989,0.07506406,50.7505,5.46331,0.004318486,19.07936,7.674217,48.45689,-1.186408
gemaps_part_pain.csv,54511eb0573197e857f3c3171b065b91_Pain_5_female_180620_134126.wav_features_GeMAPSv01a.csv,0.8496009,0.1603817,-118.9702,0.2264022,0.3700169,-117.5368,-0.7215594,0.1821428,-0.7436246,44.28275,-117.0576,9.73251,-0.5407309,0.1229505,0.742654,0.6746081,1.160664,0.1832654,42.82268,7.376965,-0.00824329,4.177864,-6.723732,34.55024,-0.79607
gemaps_part_pain.csv,8070300090de01444fb36f4993636269_Pain_14_female_180620_134531.wav_features_GeMAPSv01a.csv,1.255984,0.8258587,-58.69543,1.727061,1.622536,-54.848,-1.296478,0.105,-1.42958,52.46384,-57.48315,7.695759,-0.7859446,0.07671375,0.455604,2.148974,0.6335436,0.1486808,48.47307,12.13603,-0.01601989,7.923597,-7.064572,44.76808,-1.557633
gemaps_part_pain.csv,9a145566405d3ac733195db10329b253_Pain_37_female_210303_965814.wav_features_GeMAPSv01a.csv,0.738848,0.1261472,-40.6945,1.499084,1.331582,-37.5462,-2.180543,0.226,-2.409561,50.94249,-43.29278,2.596661,0.6057356,0.118254,0.6770557,2.200611,0.8223172,0.03475896,49.85292,9.46908,0.02144922,5.918155,10.70239,48.34583,-2.184518
gemaps_part_pain.csv,bbc748f81bbaebb3705c5ff4628e9e44_Pain_28_female_190709_551159.wav_features_GeMAPSv01a.csv,0.8825702,0.2814735,-78.74985,1.326823,1.436142,-77.4439,-1.175014,0.1944444,-1.215544,48.37379,-86.96959,2.979225,-18.51735,0.2208122,0.7243021,2.347055,0.7800826,0.07291,47.46216,10.721,0.01146122,15.21702,-0.3336166,45.39457,-1.16116
gemaps_part_pain.csv,e1d5d437e44296c5112cf7cef5de4c87_Pain_45_female_180617_130035.wav_features_GeMAPSv01a.csv,0.4046928,0.444822,-51.2091,0.9100168,0.8620448,-51.56705,-1.730078,0.155,-1.724863,47.0293,-60.7677,1.195148,1.006959,0.09192389,0.5084948,1.220375,1.236994,0.04295001,46.52952,4.865829,0.007313879,2.820075,5.719195,45.83416,-1.526937
gemaps_part_pain.csv,2977d89e723dbc8dd71276db18bf9a66_Pain_38_male_211110_1180358.wav_features_GeMAPSv01a.csv,0.6112881,0.1852859,-75.44492,0.8740897,0.9185435,-74.88845,-1.13908,0.1677778,-1.153497,49.34901,-74.62678,10.68149,-1.327312,0.1992083,0.6864437,1.584382,1.422933,0.1226916,46.52357,4.670291,-0.003128844,5.554369,-6.22004,38.66752,-1.256872
